review,sentiment,review_clean,review_length,predicted_sentiment
"I really liked this Summerslam due to the look of the arena, the curtains and just the look overall was interesting to me for some reason. Anyways, this could have been one of the best Summerslam's ever if the WWF didn't have Lex Luger in the main event against Yokozuna, now for it's time it was ok to have a huge fat man vs a strong man but I'm glad times have changed. It was a terrible main event just like every match Luger is in is terrible. Other matches on the card were Razor Ramon vs Ted Dibiase, Steiner Brothers vs Heavenly Bodies, Shawn Michaels vs Curt Hening, this was the event where Shawn named his big monster of a body guard Diesel, IRS vs 1-2-3 Kid, Bret Hart first takes on Doink then takes on Jerry Lawler and stuff with the Harts and Lawler was always very interesting, then Ludvig Borga destroyed Marty Jannetty, Undertaker took on Giant Gonzalez in another terrible match, The Smoking Gunns and Tatanka took on Bam Bam Bigelow and the Headshrinkers, and Yokozuna defended the world title against Lex Luger this match was boring and it has a terrible ending. However it deserves 8/10",positive,i really liked this summerslam due to the look of the arena the curtains and just the look overall was interesting to me for some reason anyways this could have been one of the best summerslams ever if the wwf didnt have lex luger in the main event against yokozuna now for its time it was ok to have a huge fat man vs a strong man but im glad times have changed it was a terrible main event just like every match luger is in is terrible other matches on the card were razor ramon vs ted dibiase steiner brothers vs heavenly bodies shawn michaels vs curt hening this was the event where shawn named his big monster of a body guard diesel irs vs  kid bret hart first takes on doink then takes on jerry lawler and stuff with the harts and lawler was always very interesting then ludvig borga destroyed marty jannetty undertaker took on giant gonzalez in another terrible match the smoking gunns and tatanka took on bam bam bigelow and the headshrinkers and yokozuna defended the world title against lex luger this match was boring and it has a terrible ending however it deserves,199,"The sentiment of this text is Mixed. While the reviewer expresses admiration for certain aspects of Summerslam, such as the arena's appearance and several matches (like Razor Ramon vs Ted Dibiase, Steiner Brothers vs Heavenly Bodies, Shawn Michaels vs Curt Hening, IRS vs Bret Hart, Ludvig Borga vs Marty Jannetty, Undertaker vs Giant Gonzalez, Smoking Gunns and Tatanka vs Bam Bam Bigelow and the Headshrinkers), they criticize others, particularly the main event between Lex Luger and Yokozuna, calling it ""terrible"" and ""boring."" The reviewer also seems nostalgic for the evolution of wrestling, indicating a mix of positive and negative feelings towards the event."
"Not many television shows appeal to quite as many different kinds of fans like Farscape does...I know youngsters and 30/40+ years old;fans both Male and Female in as many different countries as you can think of that just adore this T.V miniseries. It has elements that can be found in almost every other show on T.V, character driven drama that could be from an Australian soap opera; yet in the same episode it has science fact & fiction that would give even the hardiest ""Trekkie"" a run for his money in the brainbender stakes! Wormhole theory, Time Travel in true equational form...Magnificent. It embraces cultures from all over the map as the possibilities are endless having multiple stars and therefore thousands of planets to choose from.<br /><br />With such a broad scope; it would be expected that nothing would be able to keep up the illusion for long, but here is where ""Farscape"" really comes into it's own element...It succeeds where all others have failed, especially the likes of Star Trek (a universe with practically zero Kaos element!) They ran out of ideas pretty quickly + kept rehashing them! Over the course of 4 seasons they manage to keep the audience's attention using good continuity and constant character evolution with multiple threads to every episode with unique personal touches to camera that are specific to certain character groups within the whole. This structure allows for an extremely large area of subject matter as loyalties are forged and broken in many ways on many many issues. I happened to see the pilot (Premiere) in passing and just had to keep tuning in after that to see if Crichton would ever ""Get the girl"", after seeing them all on television I was delighted to see them available on DVD & I have to admit that it was the only thing that kept me sane whilst I had to do a 12 hour night shift and developed chronic insomnia...Farscape was the only thing to get me through those extremely long nights...<br /><br />Do yourself a favour; Watch the pilot and see what I mean...<br /><br />Farscape Comet",positive,not many television shows appeal to quite as many different kinds of fans like farscape doesi know youngsters and  years oldfans both male and female in as many different countries as you can think of that just adore this tv miniseries it has elements that can be found in almost every other show on tv character driven drama that could be from an australian soap opera yet in the same episode it has science fact  fiction that would give even the hardiest trekkie a run for his money in the brainbender stakes wormhole theory time travel in true equational formmagnificent it embraces cultures from all over the map as the possibilities are endless having multiple stars and therefore thousands of planets to choose fromwith such a broad scope it would be expected that nothing would be able to keep up the illusion for long but here is where farscape really comes into its own elementit succeeds where all others have failed especially the likes of star trek a universe with practically zero kaos element they ran out of ideas pretty quickly  kept rehashing them over the course of  seasons they manage to keep the audiences attention using good continuity and constant character evolution with multiple threads to every episode with unique personal touches to camera that are specific to certain character groups within the whole this structure allows for an extremely large area of subject matter as loyalties are forged and broken in many ways on many many issues i happened to see the pilot premiere in passing and just had to keep tuning in after that to see if crichton would ever get the girl after seeing them all on television i was delighted to see them available on dvd  i have to admit that it was the only thing that kept me sane whilst i had to do a  hour night shift and developed chronic insomniafarscape was the only thing to get me through those extremely long nightsdo yourself a favour watch the pilot and see what i meanfarscape comet,342,"Positive

The sentiment of the text is overwhelmingly positive. The author expresses admiration and appreciation for the television show ""Farscape"". They highlight various aspects they enjoy, such as its broad appeal across different demographics, the combination of character-driven drama and science fiction elements, its cultural diversity, and its successful maintenance of audience interest through good continuity and character evolution. The author also shares personal experiences of how the show helped them cope with insomnia. The overall tone is enthusiastic and praising, indicating a positive sentiment."
"The film quickly gets to a major chase scene with ever increasing destruction. The first really bad thing is the guy hijacking Steven Seagal would have been beaten to pulp by Seagal's driving, but that probably would have ended the whole premise for the movie.<br /><br />It seems like they decided to make all kinds of changes in the movie plot, so just plan to enjoy the action, and do not expect a coherent plot. Turn any sense of logic you may have, it will reduce your chance of getting a headache.<br /><br />I does give me some hope that Steven Seagal is trying to move back towards the type of characters he portrayed in his more popular movies.",negative,the film quickly gets to a major chase scene with ever increasing destruction the first really bad thing is the guy hijacking steven seagal would have been beaten to pulp by seagals driving but that probably would have ended the whole premise for the movieit seems like they decided to make all kinds of changes in the movie plot so just plan to enjoy the action and do not expect a coherent plot turn any sense of logic you may have it will reduce your chance of getting a headachei does give me some hope that steven seagal is trying to move back towards the type of characters he portrayed in his more popular movies,115,"The sentiment of this text is Mixed. While there are positive comments about the action and Steven Seagal's potential return to his classic roles, there are also negative criticisms about the plot's lack of coherence and logic. The reviewer seems to be enjoying the action sequences but is disappointed with the plot changes and inconsistencies."
"Jane Austen would definitely approve of this one!<br /><br />Gwyneth Paltrow does an awesome job capturing the attitude of Emma. She is funny without being excessively silly, yet elegant. She puts on a very convincing British accent (not being British myself, maybe I'm not the best judge, but she fooled me...she was also excellent in ""Sliding Doors""...I sometimes forget she's American ~!). <br /><br />Also brilliant are Jeremy Northam and Sophie Thompson and Phyllida Law (Emma Thompson's sister and mother) as the Bates women. They nearly steal the show...and Ms. Law doesn't even have any lines!<br /><br />Highly recommended.",positive,jane austen would definitely approve of this onegwyneth paltrow does an awesome job capturing the attitude of emma she is funny without being excessively silly yet elegant she puts on a very convincing british accent not being british myself maybe im not the best judge but she fooled meshe was also excellent in sliding doorsi sometimes forget shes american  also brilliant are jeremy northam and sophie thompson and phyllida law emma thompsons sister and mother as the bates women they nearly steal the showand ms law doesnt even have any lineshighly recommended,92,"The sentiment of the text is Positive. The reviewer expresses admiration for Gwyneth Paltrow's performance as Emma, praising her ability to capture the character's attitude, humor, and accent. The reviewer also compliments the performances of Jeremy Northam, Sophie Thompson, and Phyllida Law. The overall tone is favorable, with the reviewer highly recommending the movie."
"Expectations were somewhat high for me when I went to see this movie, after all I thought Steve Carell could do no wrong coming off of great movies like Anchorman, The 40 Year-Old Virgin, and Little Miss Sunshine. Boy, was I wrong.<br /><br />I'll start with what is right with this movie: at certain points Steve Carell is allowed to be Steve Carell. There are a handful of moments in the film that made me laugh, and it's due almost entirely to him being given the wiggle-room to do his thing. He's an undoubtedly talented individual, and it's a shame that he signed on to what turned out to be, in my opinion, a total train-wreck.<br /><br />With that out of the way, I'll discuss what went horrifyingly wrong.<br /><br />The film begins with Dan Burns, a widower with three girls who is being considered for a nationally syndicated advice column. He prepares his girls for a family reunion, where his extended relatives gather for some time with each other.<br /><br />The family is high atop the list of things that make this an awful movie. No family behaves like this. It's almost as if they've been transported from Pleasantville or Leave it to Beaver. They are a caricature of what we think a family is when we're 7. It reaches the point where they become obnoxious and simply frustrating. Touch football, crossword puzzle competitions, family bowling, and talent shows ARE NOT HOW ACTUAL PEOPLE BEHAVE. It's almost sickening.<br /><br />Another big flaw is the woman Carell is supposed to be falling for. Observing her in her first scene with Steve Carell is like watching a stroke victim trying to be rehabilitated. What I imagine is supposed to be unique and original in this woman comes off as mildly retarded.<br /><br />It makes me think that this movie is taking place on another planet. I left the theater wondering what I just saw. After thinking further, I don't think it was much.",negative,expectations were somewhat high for me when i went to see this movie after all i thought steve carell could do no wrong coming off of great movies like anchorman the  yearold virgin and little miss sunshine boy was i wrongill start with what is right with this movie at certain points steve carell is allowed to be steve carell there are a handful of moments in the film that made me laugh and its due almost entirely to him being given the wiggleroom to do his thing hes an undoubtedly talented individual and its a shame that he signed on to what turned out to be in my opinion a total trainwreckwith that out of the way ill discuss what went horrifyingly wrongthe film begins with dan burns a widower with three girls who is being considered for a nationally syndicated advice column he prepares his girls for a family reunion where his extended relatives gather for some time with each otherthe family is high atop the list of things that make this an awful movie no family behaves like this its almost as if theyve been transported from pleasantville or leave it to beaver they are a caricature of what we think a family is when were  it reaches the point where they become obnoxious and simply frustrating touch football crossword puzzle competitions family bowling and talent shows are not how actual people behave its almost sickeninganother big flaw is the woman carell is supposed to be falling for observing her in her first scene with steve carell is like watching a stroke victim trying to be rehabilitated what i imagine is supposed to be unique and original in this woman comes off as mildly retardedit makes me think that this movie is taking place on another planet i left the theater wondering what i just saw after thinking further i dont think it was much,318,"Negative. The sentiment of this text is negative. The reviewer expresses disappointment in the movie, stating it's a ""total trainwreck"" and a ""trainwreck"". They criticize the family portrayal as unrealistic and obnoxious, and find the character that Steve Carell's character is supposed to fall for as unappealing and almost insulting. The overall tone of the review is one of dissatisfaction and disappointment."
"I've watched this movie on a fairly regular basis for most of my life, and it never gets old. For all the snide remarks and insults (mostly from David Spade), ""Tommy Boy"" has a giant heart. And that's what keeps this movie funny after all these years.<br /><br />Tommy Callahan (Chris Farley) is the son of Big Tom Callahan (Brian Dennehy), master car parts salesman, and has ridden on that all his life. But after his died dies on his wedding day, Tommy learns that the company is in debt, and about to be bought by Ray Zalinsky (Dan Akroyd), the owner of a huge car parts company. So in order to save the company, Tommy has to go on the road to sell the company's new brake pads. Along for the ride, though not by choice, is Richard Hayden (David Spade) a former classmate of Tommy's who was Big Tom's right-hand man.<br /><br />The movie rides on the chemistry between the two SNL stars (and real-life best friends) Chris Farley and David Spade. The duo has enough comic energy going between them to power the world. It's the big, dumb guy versus the smart little guy. It works, and some of their scenes are unforgettably funny. Farley and Spade are actually decent dramatic actors as well. Although the film is primarily a comedy, it has its fair share of drama, but Spade and especially Farley are just as good there as when they're making the audience laugh.<br /><br />Forgive me, but I have to talk about Chris Farley a little more. I read his biography (""The Chris Farley Show: A Biography in Three Acts,"" for anyone who cares), and understanding who Chris was in real life made this movie more special to me. Chris Farley was a genuinely good person who struggled, and ultimately failed to conquer his addictions. Although this was the first movie he had a major role in, it is his best film. It really showed who he was, and just how much talent he had. Knowing Chris's story adds another layer to this movie, although it doesn't make it any less funny.<br /><br />Farley and Spade are matched with a good on screen cast. Rob Lowe is suitably slimy as Tommy's ""new brother,"" and Bo Derek is solid as his step-mother. Brian Dennehy is great as Big Tom. Dennehy makes it easy to believe that they're father in son. Big Tom is just as crazy as his son, although he's smarter and more mature. Dan Akroyd gives one of his best performances as Zalinsky, giving Tommy the hard truth behind advertising. Julie Warner is also good as Tommy's love interest, Michelle.<br /><br />For me, Peter Segal is one of the great comedy directors. He keeps the pace quick and energetic, but most importantly, he knows how to make comedy funny. He doesn't belabor the jokes, and he understands that funny actors know what they're doing and he allows them to do it. But Segal goes a step further. He gives ""Tommy Boy"" a friendly, almost nostalgic tone that both tugs the heartstrings (genuinely) and tickles the funnybone.<br /><br />Critics didn't like ""Tommy Boy."" Shame on them. A movie doesn't have to be super sophisticated or subversively intellectual to be funny (God forbid Farley and Spade were forced to do muted comedy a la ""The Office""). This is a great movie and one of my all-time favorites.",positive,ive watched this movie on a fairly regular basis for most of my life and it never gets old for all the snide remarks and insults mostly from david spade tommy boy has a giant heart and thats what keeps this movie funny after all these yearstommy callahan chris farley is the son of big tom callahan brian dennehy master car parts salesman and has ridden on that all his life but after his died dies on his wedding day tommy learns that the company is in debt and about to be bought by ray zalinsky dan akroyd the owner of a huge car parts company so in order to save the company tommy has to go on the road to sell the companys new brake pads along for the ride though not by choice is richard hayden david spade a former classmate of tommys who was big toms righthand manthe movie rides on the chemistry between the two snl stars and reallife best friends chris farley and david spade the duo has enough comic energy going between them to power the world its the big dumb guy versus the smart little guy it works and some of their scenes are unforgettably funny farley and spade are actually decent dramatic actors as well although the film is primarily a comedy it has its fair share of drama but spade and especially farley are just as good there as when theyre making the audience laughforgive me but i have to talk about chris farley a little more i read his biography the chris farley show a biography in three acts for anyone who cares and understanding who chris was in real life made this movie more special to me chris farley was a genuinely good person who struggled and ultimately failed to conquer his addictions although this was the first movie he had a major role in it is his best film it really showed who he was and just how much talent he had knowing chriss story adds another layer to this movie although it doesnt make it any less funnyfarley and spade are matched with a good on screen cast rob lowe is suitably slimy as tommys new brother and bo derek is solid as his stepmother brian dennehy is great as big tom dennehy makes it easy to believe that theyre father in son big tom is just as crazy as his son although hes smarter and more mature dan akroyd gives one of his best performances as zalinsky giving tommy the hard truth behind advertising julie warner is also good as tommys love interest michellefor me peter segal is one of the great comedy directors he keeps the pace quick and energetic but most importantly he knows how to make comedy funny he doesnt belabor the jokes and he understands that funny actors know what theyre doing and he allows them to do it but segal goes a step further he gives tommy boy a friendly almost nostalgic tone that both tugs the heartstrings genuinely and tickles the funnybonecritics didnt like tommy boy shame on them a movie doesnt have to be super sophisticated or subversively intellectual to be funny god forbid farley and spade were forced to do muted comedy a la the office this is a great movie and one of my alltime favorites,559,"Positive

The sentiment of the text is overwhelmingly positive. The user expresses admiration for the movie ""Tommy Boy"", praising its humor, the performances of Chris Farley and David Spade, the supporting cast, and the direction of Peter Segal. The user also mentions how the movie has remained funny for them over the years, and how understanding Chris Farley's real-life story adds another layer to their appreciation of the film. They dismiss critical opinions, indicating a strong personal attachment and enjoyment of the movie."
"For once a story of hope highlighted over the tragic reality our youth face. Favela Rising draws one into a scary, unsafe and unfair world and shows through beautiful color and moving music how one man and his dedicated friends choose not to accept that world and change it through action and art. An entertaining, interesting, emotional, aesthetically beautiful film. I showed this film to numerous high school students as well who all live in neighborhoods with poverty and and gun violence and they were enamored with Anderson, the protagonist. I recommend this film to all ages over 13 (due to subtitles and some images of death) from all backgrounds.",positive,for once a story of hope highlighted over the tragic reality our youth face favela rising draws one into a scary unsafe and unfair world and shows through beautiful color and moving music how one man and his dedicated friends choose not to accept that world and change it through action and art an entertaining interesting emotional aesthetically beautiful film i showed this film to numerous high school students as well who all live in neighborhoods with poverty and and gun violence and they were enamored with anderson the protagonist i recommend this film to all ages over  due to subtitles and some images of death from all backgrounds,109,"The sentiment of the text is Positive. The reviewer expresses admiration and appreciation for the film ""Favela Rising"". They describe it as ""entertaining"", ""interesting"", ""emotional"", and ""aesthetically beautiful"". The reviewer also highlights the film's positive impact, as it inspired high school students living in poverty-stricken and violent neighborhoods. The overall tone is optimistic and encouraging, focusing on the power of art and action to effect change, which leans towards a positive sentiment."
"Okay, I didn't get the Purgatory thing the first time I watched this episode. It seemed like something significant was going on that I couldn't put my finger on. This time those Costa Mesa fires on TV really caught my attention- and it helped that I was just writing an essay on Inferno! But let me see what HASN'T been discussed yet...<br /><br />A TWOP review mentioned that Tony had 7 flights of stairs to go down because of the broken elevator. Yeah, 7 is a significant number for lots of reasons, especially religious, but here's one more for ya. On a hunch I consulted wikipedia, and guess what Dante divided into 7 levels? Purgatorio. Excluding ante-Purgatory and Paradise. (The stuff at the bottom of the stairs and... what Tony can't get to.) <br /><br />On to the allegedly ""random"" monk-slap scene. As soon as the monks appeared, it fit perfectly in place with Tony trying to get out of Purgatory. You can tell he got worried when that Christian commercial (death, disease, and sin) came on, and he's getting more and more desperate because Christian heaven is looking kinda iffy for him. By the time he meets the monks he's thinking ""hey maybe these guys can help me?"" which sounds like contemplating other religions (e.g. Buddhism) and wondering if some other path could take him to ""salvation"". Not that Tony is necessarily literally thinking about becoming a Buddhist, but it appears Finnerty tried that (and messed up). That slap in the face basically tells Tony there's no quick fix- as in, no, you can't suddenly embrace Buddhism and get out of here. <br /><br />Tony was initially not too concerned about getting to heaven. But at the ""conference entrance"", he realizes that's not going to be so easy for him. At first I saw the name vs. driver's license problem as Tony having led sort of a double life, what with the killing people and sleeping around that he kept secret from most people. He feels free to have an affair with quasi-Melfi because ""he's Kevin Finnerty"". He figures out that he CAN fool some people with KF's cards, like hotel receptionists, but it won't get him out of Purgatory. Those helicopters- the helicopters of Heaven?- are keeping track of him and everything he does.<br /><br />After reading all the theories on ""inFinnerty"", though, it seems like KF's identity is a reminder of the infinite different paths Tony could've taken in his life. Possibly along with the car joke involving Infiniti's that made no sense to me otherwise. Aaaand at that point my brain fizzles out.",positive,okay i didnt get the purgatory thing the first time i watched this episode it seemed like something significant was going on that i couldnt put my finger on this time those costa mesa fires on tv really caught my attention and it helped that i was just writing an essay on inferno but let me see what hasnt been discussed yeta twop review mentioned that tony had  flights of stairs to go down because of the broken elevator yeah  is a significant number for lots of reasons especially religious but heres one more for ya on a hunch i consulted wikipedia and guess what dante divided into  levels purgatorio excluding antepurgatory and paradise the stuff at the bottom of the stairs and what tony cant get to on to the allegedly random monkslap scene as soon as the monks appeared it fit perfectly in place with tony trying to get out of purgatory you can tell he got worried when that christian commercial death disease and sin came on and hes getting more and more desperate because christian heaven is looking kinda iffy for him by the time he meets the monks hes thinking hey maybe these guys can help me which sounds like contemplating other religions eg buddhism and wondering if some other path could take him to salvation not that tony is necessarily literally thinking about becoming a buddhist but it appears finnerty tried that and messed up that slap in the face basically tells tony theres no quick fix as in no you cant suddenly embrace buddhism and get out of here tony was initially not too concerned about getting to heaven but at the conference entrance he realizes thats not going to be so easy for him at first i saw the name vs drivers license problem as tony having led sort of a double life what with the killing people and sleeping around that he kept secret from most people he feels free to have an affair with quasimelfi because hes kevin finnerty he figures out that he can fool some people with kfs cards like hotel receptionists but it wont get him out of purgatory those helicopters the helicopters of heaven are keeping track of him and everything he doesafter reading all the theories on infinnerty though it seems like kfs identity is a reminder of the infinite different paths tony couldve taken in his life possibly along with the car joke involving infinitis that made no sense to me otherwise aaaand at that point my brain fizzles out,426,"The sentiment of this text is Positive. The user expresses a deep interest and enthusiasm in interpreting the symbolism and religious themes in the episode, particularly the purgatory references. They enjoy piecing together the various clues and theories, and seem to appreciate the complexity and depth of the show. There's a sense of satisfaction in understanding and connecting the dots, which indicates a positive sentiment towards the content."
"I was very disappointed with this series. It had lots of cool graphics and that's about it. The level of detail it went into was minimal, and I always got the feeling the audience was being patronized -- there was a lot of what seemed to me as ""This is extremely cool but we're not going to explain it in further detail because you won't get it anyway. Let's just show you some pretty pictures to entertain you."" The host would drop interesting-sounding words such as ""sparticles"" and ""super-symmetry"" without any attempt at explaining what it was. We had to look it up on Wikipedia.<br /><br />Furthermore, I know quite a bit about superstrings (for a layman) and I found their explanations were convoluted and could have been so much better. They could have chosen MUCH better examples to explain concepts, but instead, the examples they used were confusing and further obscured the subject.<br /><br />Additionally, I got so sick of the repetitiveness. They could easily have condensed the series into one episode if they had cut out all the repetition. They must have shown the clips of the Quantum Café about 8 times. The host kept saying the same things over and over and over again. I can't remember how many times he said ""The universe is made out of tiny little vibrating strings."" It's like they were trying to brainwash us into just accepting ""superstrings are the best thing since sliced bread.""<br /><br />Finally, the show ended off with an unpleasant sense of a ""competition"" between Fermilab and CERN, clearly biased towards Fermilab. This is supposed to be an educational program about quantum physics, not about whether the US is better than Europe or vice versa! I also felt that was part of the patronizing -- ""Audiences need to see some conflict to remain interested."" Please. Give me a little more credit than that.<br /><br />Overall, 2 thumbs down :-(",negative,i was very disappointed with this series it had lots of cool graphics and thats about it the level of detail it went into was minimal and i always got the feeling the audience was being patronized  there was a lot of what seemed to me as this is extremely cool but were not going to explain it in further detail because you wont get it anyway lets just show you some pretty pictures to entertain you the host would drop interestingsounding words such as sparticles and supersymmetry without any attempt at explaining what it was we had to look it up on wikipediafurthermore i know quite a bit about superstrings for a layman and i found their explanations were convoluted and could have been so much better they could have chosen much better examples to explain concepts but instead the examples they used were confusing and further obscured the subjectadditionally i got so sick of the repetitiveness they could easily have condensed the series into one episode if they had cut out all the repetition they must have shown the clips of the quantum caf about  times the host kept saying the same things over and over and over again i cant remember how many times he said the universe is made out of tiny little vibrating strings its like they were trying to brainwash us into just accepting superstrings are the best thing since sliced breadfinally the show ended off with an unpleasant sense of a competition between fermilab and cern clearly biased towards fermilab this is supposed to be an educational program about quantum physics not about whether the us is better than europe or vice versa i also felt that was part of the patronizing  audiences need to see some conflict to remain interested please give me a little more credit than thatoverall  thumbs down,309,"Negative. The sentiment of the text is overwhelmingly negative. The user expresses disappointment with the series, criticizing its lack of detail, patronizing tone, poor explanations, repetitiveness, and perceived bias. They also mention feeling insulted by the assumption that audiences need simplistic, repeated explanations to remain interested. The overall tone and content of the text indicate a strong negative sentiment towards the series."
"The first 30 minutes of Tinseltown had my finger teetering on the remote, poised to flick around to watch something else. The premise of two writers, down on their luck, living in a self-storage-space ""bin"" was mildly amusing, but, painfully bland.<br /><br />The introduction of the character, played by Joe Pantoliano - the big deal movie guy, that lives in the park and sleeps in a lavatory, offered hope and I decided to give it a few more minutes. And then a few more until Kristy Swansons introduction as a budding film director & borderline nymphomaniac, added a bit of spice. Her solid acting performance raised her presence above and beyond just a very welcome eye-candy inclusion.<br /><br />Ultimately, the obvious low-budget impacts on the film with poorly shot scenes, stuttured pace and slapstick handling of certain moments. Some of my favourite movies of all time have been low budget, Whithnail & I being one that also deals with 2 guys with a dream, but down on their luck.<br /><br />However, for my money, the actors save Tinseltown from the ""Terrible movie"" archives and just about nudges it into the ""could have been a cult movie"" archives. I laughed out loud at some of the scenes involving Joe Pantoliano's character. In particular, the penultimate scenes in the terribly clichéd, but still funny, rich-but-screwed-up characters house, where the story unravels towards it's final moments.<br /><br />I can see how Tinseltown was a great stage play and while the film-makers did their best to translate this to celluloid, it simply didn't work and while I laughed out loud at some of scenes and one liners, I think the first 30 minutes dulled my senses and expectations to such a degree I would have laughed at anything.<br /><br />Unless you're stuck for a novelty coffee coaster, don't pick this up if you see it in a bargain bucket.",negative,the first  minutes of tinseltown had my finger teetering on the remote poised to flick around to watch something else the premise of two writers down on their luck living in a selfstoragespace bin was mildly amusing but painfully blandthe introduction of the character played by joe pantoliano  the big deal movie guy that lives in the park and sleeps in a lavatory offered hope and i decided to give it a few more minutes and then a few more until kristy swansons introduction as a budding film director  borderline nymphomaniac added a bit of spice her solid acting performance raised her presence above and beyond just a very welcome eyecandy inclusionultimately the obvious lowbudget impacts on the film with poorly shot scenes stuttured pace and slapstick handling of certain moments some of my favourite movies of all time have been low budget whithnail  i being one that also deals with  guys with a dream but down on their luckhowever for my money the actors save tinseltown from the terrible movie archives and just about nudges it into the could have been a cult movie archives i laughed out loud at some of the scenes involving joe pantolianos character in particular the penultimate scenes in the terribly clichd but still funny richbutscrewedup characters house where the story unravels towards its final momentsi can see how tinseltown was a great stage play and while the filmmakers did their best to translate this to celluloid it simply didnt work and while i laughed out loud at some of scenes and one liners i think the first  minutes dulled my senses and expectations to such a degree i would have laughed at anythingunless youre stuck for a novelty coffee coaster dont pick this up if you see it in a bargain bucket,299,"Mixed - The sentiment of this text is mixed. While the reviewer expresses some enjoyment, particularly for the performances of certain actors and specific scenes, they also express significant criticism of the film's low budget, poorly shot scenes, stuttered pace, and overall lack of success in translating a stage play to film. The reviewer's initial disinterest and the film's slow start are also noted, indicating a generally negative view. However, the positive elements, such as the humor in Joe Pantoliano's character and Kristy Swanson's performance, suggest a mixed sentiment overall."
